t,pbar,std_err,ds
1.000000000000000021e-03,9.959869688218948580e-01,1.989530425601756503e-05,1.141735307854725538e-02
1.416378040967938498e-03,9.943235305695063975e-01,3.723943702657143962e-05,1.141735307854725538e-02
2.006126754936177377e-03,9.920363600002131133e-01,4.650887743270784661e-05,1.631218095320144737e-02
2.841433883089870740e-03,9.886934450940445540e-01,5.569700376414281166e-05,2.315102240573521653e-02
4.024544556870757531e-03,9.840737278561138002e-01,8.245642938724529445e-05,3.340796955409467556e-02
5.700276535248783444e-03,9.772621199686669646e-01,1.460754413956544154e-04,4.654907809099741167e-02
8.073746511971180428e-03,9.682564211665150022e-01,1.822173142074361726e-04,6.547086795399151282e-02
1.143547726789747275e-02,9.552416119061982736e-01,2.138907686630380596e-04,9.126794708947935653e-02
1.619695889023802307e-02,9.379778264941092125e-01,3.929559585588661332e-04,1.297748955406414217e-01
2.294101690259358131e-02,9.130487575719912208e-01,4.105853869160245423e-04,1.843101539444311765e-01
3.249315257830787812e-02,8.796880918418280570e-01,6.645974314119686014e-04,2.579104792067524188e-01
4.602258779373603198e-02,8.346478399947815374e-01,7.816923125392775083e-04,3.584747158935456257e-01
6.518538273956682449e-02,7.764880880093198989e-01,1.115957624224629338e-03,4.806337802608861010e-01
9.232714470441298615e-02,7.060597435482389717e-01,1.943843775159293527e-03,6.722059052309158345e-01
1.307701403445998556e-01,6.144849587478615760e-01,2.046362046243715375e-03,9.148680159144307877e-01
1.852199551983868819e-01,5.134905430420251271e-01,2.028078006802761912e-03,1.267166163854129390e+00
2.623414772920605875e-01,3.953139215098859238e-01,2.843917874114566379e-03,1.559655629836057100e+00
3.715747076715636976e-01,2.983630119183795504e-01,3.301493393642909897e-03,1.858266088597550159e+00
5.262902565250843212e-01,2.070193573684065980e-01,2.603932673029814380e-03,2.320195725592891112e+00
7.454259625175126969e-01,1.330392181117720229e-01,2.186101151924306658e-03,2.460899155634043822e+00
1.055804964477195851e+00,8.789703540631239875e-02,2.652442503382564445e-03,2.412584075169982079e+00
1.495418967230434326e+00,5.744433280307056910e-02,1.776380405125908444e-03,2.287369370352695608e+00
2.118078587232140375e+00,3.964346350961484022e-02,1.519534875831289773e-03,2.009924147107393644e+00
3.000000000000000000e+00,2.853569767513856881e-02,1.299178663248170369e-03,2.009924147107393644e+00
