distance,t_first
1,0.03333333333333333
1,0.03333333333333333
1,0.03333333333333333
1,0.03333333333333333
1,0.03333333333333333
2,0.23333333333333334
2,0.16666666666666666
2,0.16666666666666666
2,0.23333333333333334
2,0.16666666666666666
3,0.5666666666666667
3,0.5666666666666667
3,0.5666666666666667
3,0.5666666666666667
3,0.5666666666666667
4,1.0333333333333332
4,0.8
4,0.8
4,0.8
4,0.8
5,2.533333333333333
5,2.533333333333333
5,2.533333333333333
5,2.533333333333333
5,2.533333333333333
6,4.466666666666667
6,2.9
6,2.9
6,4.466666666666667
6,2.9
7,
7,
7,
7,
7,
